Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
h2database,org.h2.util,JdbcUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serializer; DRIVERS; UUID_PREFIX; allowAllClasses; allowedClassNames; userClassFactories; allowedClassNamePrefixes
h2database,org.h2.util,JdbcUtils,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 132
h2database,org.h2.util,LegacyDateTimeUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PROLEPTIC_GREGORIAN_CHANGE; UTC
h2database,org.h2.util,ParserUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEYWORD; IDENTIFIER; ALL; AND; ANY; ARRAY; AS; ASYMMETRIC; AUTHORIZATION; BETWEEN; CASE; CAST; CHECK; CONSTRAINT; CROSS; CURRENT_CATALOG; CURRENT_DATE; CURRENT_PATH; CURRENT_ROLE; CURRENT_SCHEMA; CURRENT_TIME; CURRENT_TIMESTAMP; CURRENT_USER; DAY; DEFAULT; DISTINCT; ELSE; END; EXCEPT; EXISTS; FALSE; FETCH; FOR; FOREIGN; FROM; FULL; GROUP; HAVING; HOUR; IF; IN; INNER; INTERSECT; INTERVAL; IS; JOIN; KEY; LEFT; LIKE; LIMIT; LOCALTIME; LOCALTIMESTAMP; MINUS; MINUTE; MONTH; NATURAL; NOT; NULL; OFFSET; ON; OR; ORDER; PRIMARY; QUALIFY; RIGHT; ROW; ROWNUM; SECOND; SELECT; SESSION_USER; SET; SOME; SYMMETRIC; SYSTEM_USER; TABLE; TO; TRUE; UESCAPE; UNION; UNIQUE; UNKNOWN; USER; USING; VALUE; VALUES; WHEN; WHERE; WINDOW; WITH; YEAR; _ROWID_; FIRST_KEYWORD; LAST_KEYWORD; KEYWORDS
h2database,org.h2.util,Profiler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instrumentation; LINE_SEPARATOR; MAX_ELEMENTS; interval; depth; paused; sumClasses; sumMethods; pid; ignoreLines; ignorePackages; ignoreThreads; stop; counts; summary; minCount; total; thread; start; time; threadDumps
h2database,org.h2.util,SimpleColumnInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; type; typeName; precision; scale
h2database,org.h2.util,StringUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 51 public methods
h2database,org.h2.util,Task,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: counter; stop; result; finished; thread; ex
h2database,org.h2.util,TimeZoneProvider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UTC; CACHE; CACHE_SIZE; offset; id; SECONDS_PER_PERIOD; SECONDS_PER_YEAR; TIME_ZONE_FORMATTER; zoneId
h2database,org.h2.util,TimeZoneProvider,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: Simple
h2database,org.h2.util,TimeZoneProvider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
h2database,org.h2.util,Utils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EMPTY_BYTES; EMPTY_INT_ARRAY; RESOURCES
h2database,org.h2.util,Utils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
h2database,org.h2.util,Utils10,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
