Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
h2database,org.h2.engine,DbObject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TABLE_OR_VIEW; INDEX; USER; SEQUENCE; TRIGGER; CONSTRAINT; SETTING; ROLE; RIGHT; FUNCTION_ALIAS; SCHEMA; CONSTANT; DOMAIN; COMMENT; AGGREGATE; SYNONYM; database; trace; comment; id; objectName; modificationId; temporary
h2database,org.h2.engine,DbObject,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
h2database,org.h2.engine,DbSettings,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TABLE_SIZE; DEFAULT; analyzeAuto; analyzeSample; autoCompactFillRate; databaseToLower; databaseToUpper; caseInsensitiveIdentifiers; dbCloseOnExit; defaultConnection; defaultEscape; defragAlways; dropRestrict; estimatedFunctionTableRows; lobTimeout; maxCompactTime; maxQueryTimeout; optimizeDistinct; optimizeEvaluatableSubqueries; optimizeInsertFromSelect; optimizeInList; optimizeInSelect; optimizeOr; optimizeTwoEquals; optimizeSimpleSingleRowSubqueries; queryCacheSize; recompileAlways; reuseSpace; shareLinkedConnections; defaultTableEngine; mvStore; compressData; ignoreCatalogs; zeroBasedEnums
h2database,org.h2.engine,GeneratedKeysMode,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NONE; AUTO; COLUMN_NUMBERS; COLUMN_NAMES
h2database,org.h2.engine,Mode,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MODES; aliasColumnName; convertOnlyToSmallerScale; indexDefinitionInCreateTable; squareBracketQuotedNames; systemColumns; uniqueIndexNullsHandling; treatEmptyStringsAsNull; sysDummy1; allowPlusForStringConcat; logIsLogBase10; swapLogFunctionParameters; regexpReplaceBackslashReferences; swapConvertFunctionParameters; isolationLevelInSelectOrInsertStatement; onDuplicateKeyUpdate; replaceInto; insertOnConflict; supportedClientInfoPropertiesRegEx; supportPoundSymbolForColumnNames; allowEmptyInPredicate; charPadding; allowDB2TimestampFormat; discardWithTableHints; dateTimeValueWithinTransaction; zeroExLiteralsAreBinaryStrings; allowUnrelatedOrderByExpressionsInDistinctQueries; alterTableExtensionsMySQL; alterTableModifyColumn; truncateTableRestartIdentity; decimalSequences; allowEmptySchemaValuesAsDefaultSchema; allNumericTypesHavePrecision; forBitData; charAndByteLengthUnits; nextvalAndCurrvalPseudoColumns; nextValueReturnsDifferentValues; updateSequenceOnManualIdentityInsertion; takeInsertedIdentity; takeGeneratedSequenceValue; identityColumnsHaveDefaultOnNull; mergeWhere; allowUsingFromClauseInUpdateStatement; createUniqueConstraintForReferencedColumns; expressionNames; viewExpressionNames; topInSelect; topInDML; limit; minusIsExcept; identityDataType; serialDataTypes; identityClause; autoIncrementClause; disallowedTypes; typeByNameMap; groupByColumnIndex; numericWithBooleanComparison; name; modeEnum
h2database,org.h2.engine,QueryStatisticsData,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: QUERY_ENTRY_COMPARATOR; map; maxQueryEntries; sqlStatement; count; lastUpdateTime; executionTimeMinNanos; executionTimeMaxNanos; executionTimeCumulativeNanos; rowCountMin; rowCountMax; rowCountCumulative; executionTimeMeanNanos; rowCountMean; executionTimeM2Nanos; rowCountM2
h2database,org.h2.engine,QueryEntry,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: sqlStatement; count; lastUpdateTime; executionTimeMinNanos; executionTimeMaxNanos; executionTimeCumulativeNanos; rowCountMin; rowCountMax; rowCountCumulative; executionTimeMeanNanos; rowCountMean; executionTimeM2Nanos; rowCountM2
h2database,org.h2.engine,Right,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SELECT; DELETE; INSERT; UPDATE; ALTER_ANY_SCHEMA; SCHEMA_OWNER; ALL; grantee; grantedRole; grantedRight; grantedObject
h2database,org.h2.engine,RightOwner,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: Role
h2database,org.h2.engine,Role,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RightOwner
h2database,org.h2.engine,Session,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.8928571428571429
h2database,org.h2.engine,Session,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: databaseToUpper; databaseToLower; caseInsensitiveIdentifiers; mode; timeZone; sessionState; sessionStateChanged; sessionStateUpdating; staticSettings
h2database,org.h2.engine,Session,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CastDataProvider
h2database,org.h2.engine,Session,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
h2database,org.h2.engine,StaticSettings,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: databaseToUpper; databaseToLower; caseInsensitiveIdentifiers
h2database,org.h2.engine,DynamicSettings,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mode; timeZone
h2database,org.h2.engine,SessionLocal,Feature Envy,The tool detected a instance of this smell because getTransactionId is more interested in members of the type: Transaction
h2database,org.h2.engine,SessionLocal,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 134 public methods
h2database,org.h2.engine,SessionLocal,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: Command; CommandContainer; CommandList; Parser; Prepared; AlterDomain; AlterDomainAddConstraint; AlterDomainDropConstraint; AlterDomainExpressions; AlterDomainRename; AlterDomainRenameConstraint; AlterIndexRename; AlterSchemaRename; AlterSequence; AlterTable; AlterTableAddConstraint; AlterTableAlterColumn; AlterTableDropConstraint; AlterTableRename; AlterTableRenameColumn; AlterTableRenameConstraint; AlterUser; AlterView; Analyze; CommandWithColumns; CreateAggregate; CreateConstant; CreateDomain; CreateFunctionAlias; CreateIndex; CreateLinkedTable; CreateRole; CreateSchema; CreateSequence; CreateSynonym; CreateSynonymData; CreateTable; CreateTableData; CreateTrigger; CreateUser; CreateView; DeallocateProcedure; DefineCommand; DropAggregate; DropConstant; DropDatabase; DropDomain; DropFunctionAlias; DropIndex; DropRole; DropSchema; DropSequence; DropSynonym; DropTable; DropTrigger; DropUser; DropView; GrantRevoke; PrepareProcedure; SchemaCommand; SchemaOwnerCommand; SequenceOptions; SetComment; TruncateTable; AlterTableSet; BackupCommand; Call; CommandWithValues; DataChangeStatement; Delete; ExecuteImmediate; ExecuteProcedure; Explain; FilteredDataChangeStatement; Help; Insert; Merge; MergeUsing; When; WhenMatchedThenDelete; WhenMatchedThenUpdate; WhenNotMatched; NoOperation; RunScriptCommand; ScriptBase; ScriptCommand; Set; SetClauseList; UpdateAction; SetSimple; RowExpression; SetMultiple; SetSessionCharacteristics; TransactionCommand; Update; Optimizer; Query; Select; LazyResultGroupSorted; SelectGroups; Grouped; Plain; SelectListColumnResolver; SelectUnion; TableValueConstructor; Constraint; ConstraintCheck; ConstraintDomain; CheckExistingData; ConstraintReferential; ConstraintUnique; Comment; Database; DbObject; Engine; MetaRecord; Right; Role; SessionLocal; Setting; User; AbstractAggregate; Aggregate; AggregateData; AggregateDataAvg; AggregateDataBinarySet; AggregateDataCollecting; AggregateDataCorr; AggregateDataCount; AggregateDataCovar; AggregateDataDefault; AggregateDataDistinctWithCounts; AggregateDataEnvelope; AggregateDataStdVar; JavaAggregate; Percentile; Alias; ArrayConstructorByQuery; ArrayElementReference; BinaryOperation; CompatibilityDatePlusTimeOperation; ConcatenationOperation; DomainValueExpression; Expression; ExpressionColumn; ExpressionList; FieldReference; Format; IntervalOperation; Operation0; Operation1; Operation1_2; Operation2; OperationN; Parameter; Rownum; SearchedCase; SequenceValue; SimpleCase; Subquery; TimeZoneOperation; UnaryOperation; ValueExpression; Variable; Wildcard; DataAnalysisOperation; Window; WindowFrame; WindowFrameBound; WindowFunction; BetweenPredicate; BooleanTest; CompareLike; Comparison; Condition; ConditionAndOr; ConditionAndOrN; ConditionIn; ConditionInConstantSet; ConditionInParameter; ConditionInQuery; ConditionLocalAndGlobal; ConditionNot; ExistsPredicate; IsJsonPredicate; NullPredicate; PredicateWithSubquery; SimplePredicate; TypePredicate; UniquePredicate; ArrayFunction; BitFunction; CardinalityExpression; CastSpecification; CoalesceFunction; CompatibilitySequenceValueFunction; CompressFunction; ConcatFunction; CryptFunction; CSVWriteFunction; CurrentDateTimeValueFunction; CurrentGeneralValueSpecification; DataTypeSQLFunction; DateTimeFormatFunction; DateTimeFunction; DayMonthNameFunction; DBObjectFunction; FileFunction; Function0_1; Function1_2; Function2; FunctionN; HashFunction; JavaFunction; JsonConstructorFunction; LengthFunction; MathFunction; MathFunction1; MathFunction2; NullIfFunction; RandFunction; RegexpFunction; SessionControlFunction; SetFunction; SignalFunction; SoundexFunction; StringFunction; StringFunction1; StringFunction2; SubstringFunction; SysInfoFunction; TableInfoFunction; ToCharFunction; TrimFunction; TruncateValueFunction; XMLFunction; ArrayTableFunction; CSVReadFunction; JavaTableFunction; LinkSchemaFunction; TableFunction; FullText; FullTextLucene; DualIndex; Index; IndexCondition; IndexCursor; LinkedCursor; LinkedIndex; MetaIndex; QueryExpressionIndex; RangeIndex; SpatialIndex; VirtualConstructedTableIndex; VirtualTableIndex; DatabaseMetaLocal; DatabaseMetaServer; CompatibilityDateTimeValueFunction; FunctionsDB2Derby; FunctionsLegacy; FunctionsMSSQLServer; FunctionsMySQL; FunctionsOracle; FunctionsPostgreSQL; ModeFunction; OnDuplicateKeyValues; PgCatalogSchema; PgCatalogTable; Regclass; ToDateParser; MVDelegateIndex; MVPrimaryIndex; MVSecondaryIndex; MVStoreCursor; MVSpatialIndex; MVStoreCursor; FindBoundsCursor; MVTable; Store; LazyResult; LocalResult; SortOrder; Constant; Domain; FunctionAlias; JavaMethod; InformationSchema; MetaSchema; Schema; Sequence; TriggerObject; UserAggregate; PgServerThread; TcpServerThread; RecoverTester; Column; ColumnTemplate; DataChangeDeltaTable; DerivedTable; DualTable; FunctionTable; InformationSchemaTable; InformationSchemaTableLegacy; MetaTable; Plan; QueryExpressionTable; RangeTable; Table; TableFilter; TableLink; TableSynonym; TableValueConstructorTable; TableView; VirtualConstructedTable; VirtualTable; TestAuthentication; TestFunctions; TestTableEngines; OneRowTableEngine; OneRowTable; Scan; EndlessTableEngine; EndlessTable; Auto; TreeSetTable; TreeSetIndex; TestView; TestBase; TestBinaryOperation; TestExpression; TestReopen. Outgoing dependencies: Sequence; Prepared; Value; Database; User; NetworkConnectionInfo; Command; Trace; ValueTimestampTimeZone; Table; SmallLRUCache; TimeZoneProvider; Transaction; ValueLob; SequenceAndPrepared; Session; Schema; Index; Constraint; Parser; TimeoutValue; Savepoint; Mode; RowNumberAndValue; Procedure; SessionLocal; Store; MVTable; LobData; MVMap; VersionedValue; Row; StaticSettings; DbSettings; DynamicSettings; TransactionStore; ValueNull; Constants; LobStorageFrontend; HasSQL; ErrorCode; SysProperties; InDoubtTransaction; DateTimeUtils; DbException; Analyze; Utils; ValueVarchar
h2database,org.h2.engine,Savepoint,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: logIndex; transactionSavepoint
h2database,org.h2.engine,SessionRemote,Feature Envy,The tool detected a instance of this smell because traceOperation is more interested in members of the type: Trace
h2database,org.h2.engine,SessionRemote,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SESSION_PREPARE; SESSION_CLOSE; COMMAND_EXECUTE_QUERY; COMMAND_EXECUTE_UPDATE; COMMAND_CLOSE; RESULT_FETCH_ROWS; RESULT_RESET; RESULT_CLOSE; COMMAND_COMMIT; CHANGE_ID; COMMAND_GET_META_DATA; SESSION_SET_ID; SESSION_CANCEL_STATEMENT; SESSION_CHECK_KEY; SESSION_SET_AUTOCOMMIT; SESSION_HAS_PENDING_TRANSACTION; LOB_READ; SESSION_PREPARE_READ_PARAMS2; GET_JDBC_META; STATUS_ERROR; STATUS_OK; STATUS_CLOSED; STATUS_OK_STATE_CHANGED; traceSystem; trace; transferList; nextId; autoCommit; connectionInfo; databaseName; cipher; fileEncryptionKey; lobSyncObject; sessionId; clientVersion; autoReconnect; lastReconnect; embedded; eventListener; lobStorage; cluster; tempFileDeleter; javaObjectSerializer; compareMode; oldInformationSchema; currentSchemaName; dynamicSettings
h2database,org.h2.engine,SessionRemote,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 52 public methods
h2database,org.h2.engine,SysProperties,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: H2_SCRIPT_DIRECTORY; H2_BROWSER; USER_HOME; ALLOWED_CLASSES; ENABLE_ANONYMOUS_TLS; BIND_ADDRESS; CHECK; CLIENT_TRACE_DIRECTORY; COLLATOR_CACHE_SIZE; CONSOLE_MAX_TABLES_LIST_INDEXES; CONSOLE_MAX_TABLES_LIST_COLUMNS; CONSOLE_MAX_PROCEDURES_LIST_COLUMNS; CONSOLE_STREAM; CONSOLE_TIMEOUT; DATASOURCE_TRACE_LEVEL; DELAY_WRONG_PASSWORD_MIN; DELAY_WRONG_PASSWORD_MAX; JAVA_SYSTEM_COMPILER; lobCloseBetweenReads; LOB_CLIENT_MAX_SIZE_MEMORY; MAX_FILE_RETRY; MAX_RECONNECT; MAX_MEMORY_ROWS; MAX_TRACE_DATA_LENGTH; NIO_LOAD_MAPPED; NIO_CLEANER_HACK; OBJECT_CACHE; OBJECT_CACHE_MAX_PER_ELEMENT_SIZE; OBJECT_CACHE_SIZE; PG_DEFAULT_CLIENT_ENCODING; PREFIX_TEMP_FILE; FORCE_AUTOCOMMIT_OFF_ON_COMMIT; SERVER_CACHED_OBJECTS; SERVER_RESULT_SET_FETCH_SIZE; SOCKET_CONNECT_RETRY; SOCKET_CONNECT_TIMEOUT; SPLIT_FILE_SIZE_SHIFT; TRACE_IO; THREAD_DEADLOCK_DETECTOR; URL_MAP; USE_THREAD_CONTEXT_CLASS_LOADER; JAVA_OBJECT_SERIALIZER; AUTH_CONFIG_FILE; H2_BASE_DIR
h2database,org.h2.engine,User,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RightOwner
h2database,org.h2.expression.aggregate,AbstractAggregate,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ValueBigDecimalBase; TypeInfo; ExtTypeInfoGeometry; EWKTUtils; EWKTSource; StringUtils; SysProperties; Utils; IOUtils; DataUtils; DbException; Value; ValueClob; FileStore; LobData; ValueLob; LobStorageInterface; LobStorageFrontend; SessionRemote; TraceSystem; Trace; ConnectionInfo; TimeZoneProvider; Simple; DateTimeUtils; ValueTimestamp; CompareMode; CompareModeIcu4J; JdbcUtils; NetworkConnectionInfo; NetUtils; CipherFactory; XTEA; JdbcConnection; Session; Mode; ResultInterface; JdbcStatement; JdbcResultSet; JdbcPreparedStatement; MergedResult; SimpleResult; Column; JdbcResultSetMetaData; TraceObject; DataType; ExtTypeInfoRow; ParserUtil; ValueNull; ValueBoolean; ValueTinyint; ValueSmallint; ValueInteger; ValueBigint; ValueNumeric; ValueReal; ValueDouble; ValueDate; ValueTime; ValueTimeTimeZone; ValueTimestampTimeZone; ValueUuid; ValueInterval; IntervalUtils; ValueToObjectConverter; Interval; JdbcLob; LobPipedOutputStream; ValueJavaObject; ValueVarchar; ValueVarbinary; ValueChar; JSR310Utils; ValueGeometry; EWKBUtils; EWKBSource; JTSUtils; GeometryTarget; GeometryUtils; LegacyDateTimeUtils; ValueArray; ValueRow; ParameterInterface; JdbcParameterMetaData; JdbcBlob; JdbcArray; UpdatableRow; JdbcClob; JdbcSQLXML; JdbcDatabaseMetaData; JdbcCallableStatement; JdbcSavepoint; SimpleResultSet; SimpleArray; CompareModeDefault; WithTimeZone; DbSettings; SortedProperties; TempFileDeleter; DynamicSettings; Transfer; ExtTypeInfoEnum; ValueEnum; ValueBlob; LobDataDatabase; ValueDecfloat; Data; ValueBinary; ValueEnumBase; ValueVarcharIgnoreCase; ValueJson; JSONBytesSource; JSONStringSource; JSONByteArrayTarget; ByteStack; Engine; Database; SessionLocal; Sequence; Schema; RightOwner; Role; Table; Column; Expression; ColumnResolver; ExpressionColumn; Constant; ValueExpression; TableFilter; TableFilterVisitor; Select; SelectGroups; Grouped; Plain; DataAnalysisOperation; Window; WindowFrame; WindowFrameBound; SortOrder; QueryOrderBy; BiReverseItr; BiItr; TriReverseItr; TriItr; PartitionData; ExpressionVisitor; AllColumnsForPlan; DbObject; Parser; Token; CreateView; Query; LocalResult; ResultExternal; Row; DefaultRow; SearchRow; MVTempResult; MVStore; FileStore; FreeSpaceBitSet; FilePathCache; CacheLongKeyLIRS; Segment; FileCache; Chunk; WriteBuffer; MVMap; DataType; DecisionMaker; CursorPos; Page; PageReference; NonLeaf; IncompleteNonLeaf; Leaf; RootReference; EqualsDecisionMaker; RewriteDecisionMaker; Cursor; MemoryEstimator; RemovedPageInfo; BackgroundWriterThread; Builder; StringDataType; MVStoreTool; GenericDataType; TransactionStore; RollbackListener; MetaType; StatefulDataType; Record; Transaction; TransactionMap; Snapshot; TxDecisionMaker; VersionedValueUncommitted; RepeatableIterator; TMIterator; ValidationIterator; UncommittedIterator; CommittedIterator; CommitDecisionMaker; VersionedValueType; Factory; TxMapBuilder; TMVMap; RollbackDecisionMaker; LongDataType; CloseImpl; MVSortedTempResult; ValueDataType; RowFactory; RowDataType; Factory; DefaultRowFactory; IndexColumn; SimpleRowValue; Sparse; Holder; NullValueDataType; MVPlainTempResult; Store; CreateTableData; MVTable; MVPrimaryIndex; MVStoreCursor; MVIndex; MVDelegateIndex; MVSpatialIndex; MVRTreeMap; SpatialDataType; IntersectsRTreeCursor; ContainsRTreeCursor; SpatialKey; RTreeCursor; SpatialKeyIterator; FindBoundsCursor; IndexCondition; Comparison; NullPredicate; ExpressionList; ConditionIn; ConditionInConstantSet; TypedValueExpression; MVSecondaryIndex; Source; Comparator; Index; ConstraintReferential; ConstraintUnique; Constraint; Prepared; Command; ResultWithPaddedStrings; Parameter; MVInDoubtTransaction; InDoubtTransaction; ResultTarget; TableView; CommandContainer; ResultWithGeneratedKeys; DataChangeStatement; GeneratedKeysCollector; CommandList; BackupCommand; FileLister; FileLock; Driver; Analyze; SelectivityData; Right; TransactionCommand; PrepareProcedure; Procedure; Update; SetClauseList; UpdateAction; RowExpression; SetSimple; SetMultiple; Insert; ConditionAndOr; ConditionNot; ConditionAndOrN; Condition; DataChangeDeltaTable; PlanItem; Delete; Merge; MergeUsing; When; CommandWithValues; TableValueConstructor; TableValueConstructorTable; TableValueColumnResolver; ArrayTableFunction; IndexHints; FunctionAlias; SourceCompiler; GroovyCompiler; JavaMethod; ValueToObjectConverter2; TruncateTable; SetComment; Comment; DropTable; SchemaAndTable; DropIndex; DropUser; User; DropSequence; DropConstant; DropTrigger; TriggerObject; DropView; DropRole; DropFunctionAlias; DropSchema; DropDatabase; DropSynonym; TableSynonym; CreateSynonymData; DropDomain; Domain; ConstraintDomain; DomainColumnResolver; CheckExistingData; AlterDomain; AlterTableAddConstraint; ConstraintCheck; AlterDomainAddConstraint; ColumnTemplate; DropAggregate; UserAggregate; AggregateWrapper; ExecuteProcedure; Call; TableFunction; UserDefinedFunction; DeallocateProcedure; Explain; SelectUnion; LazyResultUnion; ConcatenationOperation; ConcatFunction; JavaAggregate; Aggregate; AggregateData; AggregateDataCount; AggregateDataDefault; BitFunction; AggregateDataAvg; AggregateDataStdVar; AggregateDataDistinctWithCounts; AggregateDataCovar; AggregateDataCorr; AggregateDataCollecting; AggregateDataEnvelope; JsonConstructorUtils; JSONStringTarget; Percentile; JsonConstructorFunction; Subquery; Format; AbstractAggregate; FunctionsPostgreSQL; CurrentGeneralValueSpecification; PgServer; PgServerThread; Prepared; Portal; ScriptReader; Tool; ToDateParser; ToDateTokenizer; YearParslet; MonthParslet; ToCharFunction; DateTimeFunction; DayParslet; TimeParslet; InlineParslet; ToDateParslet; SimpleCase; SimpleWhen; ModeFunction; CompatibilityDateTimeValueFunction; CurrentDateTimeValueFunction; FunctionsLegacy; FunctionsDB2Derby; FunctionsMSSQLServer; StringFunction; CoalesceFunction; RandFunction; FunctionsMySQL; FunctionsOracle; DateTimeFormatFunction; SubstringFunction; WindowFunction; Wildcard; BinaryOperation; IntervalOperation; CompatibilityDatePlusTimeOperation; UnaryOperation; SetFunction; Variable; SearchedCase; Tokenizer; SequenceOptions; CreateIndex; GrantRevoke; CreateRole; CreateSchema; CreateSequence; CreateConstant; CreateAggregate; CreateDomain; CreateTrigger; CreateUser; CreateFunctionAlias; AlterIndexRename; AlterDomainDropConstraint; AlterDomainExpressions; AlterDomainRenameConstraint; AlterDomainRename; AlterTableRename; AlterView; AlterSchemaRename; AlterSequence; AlterUser; Set; Setting; AuthenticatorFactory; DefaultAuthenticator; CredentialsValidator; AuthenticationInfo; UserToRolesMapper; ConfigProperties; UserBuilder; TimeZoneOperation; RunScriptCommand; ScriptCommand; AlterTableRenameColumn; AlterTableAlterColumn; SchemaObject; TableBase; AlterTableDropConstraint; AlterTableRenameConstraint; AlterTableSet; CreateLinkedTable; TableLink; TableLinkConnection; LinkedIndex; LinkedCursor; CreateTable; CommandWithColumns; DefineCommand; CreateSynonym; RangeTable; RangeIndex; RangeCursor; SingleRowCursor; MathFunction; CastSpecification; StringFunction1; TrimFunction; MathFunction1; MathFunction2; DayMonthNameFunction; StringFunction2; LengthFunction; RegexpFunction; XMLFunction; ArrayFunction; CompressFunction; CompressTool; SoundexFunction; CryptFunction; HashFunction; SessionControlFunction; SysInfoFunction; TableInfoFunction; FileFunction; DBObjectFunction; QueryExpressionTable; QueryExpressionIndex; QueryExpressionCursor; CacheKey; BuiltinFunctions; LazyResultGroupSorted; LazyResultQueryFlat; LazyResultSelect; LazyResult; SelectListColumnResolver; Optimizer; Plan; Permutations; IndexCursor; MapColumnsVisitor; GeneratedColumnResolver; SequenceAndPrepared; TimeoutValue; RowNumberAndValue; DelayedDatabaseCloser; Server; WebServer; TranslateThread; WebThread; PageParser; WebSession; DbContents; DbSchema; DbTableOrView; DbColumn; DbProcedure; Bnf; Rule; Sentence; BnfVisitor; RuleHead; RuleFixed; Csv; RuleList; RuleElement; RuleOptional; RuleExtension; RuleRepeat; DbContextRule; Help; ConnectionInfo; TcpServer; TcpServerThread; SmallMap; GeneratedKeysMode; ParameterRemote; ResultColumn; DatabaseMetaServer; Authenticator; MetaRecord; TableEngine; Type; BlobReference; OnExitDatabaseCloser; DeleteDbFiles; DatabaseHolder; GeoJsonUtils; GeoJsonTarget; JSONValue; JSONObject; JSONArray; EWKTTarget
h2database,org.h2.expression.aggregate,Aggregate,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 47 methods
h2database,org.h2.expression.aggregate,AggregateDataCollecting,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AggregateData
h2database,org.h2.expression.aggregate,LongDataCounter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: count
h2database,org.h2.expression,Alias,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
h2database,org.h2.expression,ArrayConstructorByQuery,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
h2database,org.h2.expression,ArrayElementReference,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
h2database,org.h2.expression,ArrayElementReference,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Operation2
h2database,org.h2.expression,BinaryOperation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Operation2
